Date,GBPUSD=X,GLD,SPY,USO,VIX
2015-06-17,1.563966155052185,113.8499984741211,175.65509033203125,161.67999267578125,14.5
2015-06-18,1.5848110914230347,115.31999969482422,177.4818115234375,162.8800048828125,13.1899995803833
2015-06-19,1.587881326675415,115.12000274658203,176.69393920898438,160.16000366210938,13.960000038146973
2015-06-22,1.5885119438171387,113.63999938964844,177.59909057617188,161.27999877929688,12.739999771118164
2015-06-23,1.5829297304153442,112.88999938964844,177.7248992919922,163.75999450683594,12.109999656677246
2015-06-24,1.5741090774536133,112.58999633789062,176.43409729003906,161.67999267578125,13.260000228881836
2015-06-25,1.570993185043335,112.44000244140625,175.8976593017578,159.83999633789062,14.010000228881836
2015-06-26,1.5745056867599487,112.55999755859375,175.8641815185547,159.83999633789062,14.020000457763672
2015-06-29,1.5693166255950928,113.06999969482422,172.17626953125,156.0800018310547,18.850000381469727
2015-06-30,1.573192834854126,112.37000274658203,172.53663635253906,159.0399932861328,18.229999542236328
2015-07-01,1.5687012672424316,111.9800033569336,173.9196319580078,152.8000030517578,16.09000015258789
2015-07-02,1.5605005025863647,111.76000213623047,173.76028442382812,151.44000244140625,16.790000915527344
2015-07-03,1.5613046884536743,,,,
2015-07-06,1.555596947669983,112.05999755859375,173.26580810546875,141.83999633789062,17.010000228881836
2015-07-07,1.5602084398269653,110.76000213623047,174.35546875,142.0800018310547,16.09000015258789
2015-07-08,1.5462881326675415,111.08999633789062,171.4302520751953,139.0399932861328,19.65999984741211
2015-07-09,1.536995530128479,111.36000061035156,171.74032592773438,141.67999267578125,19.969999313354492
2015-07-10,1.5373972654342651,111.48999786376953,173.90283203125,141.36000061035156,16.829999923706055
2015-07-13,1.5515903234481812,110.98999786376953,175.82225036621094,140.0800018310547,13.899999618530273
2015-07-14,1.548227310180664,110.73999786376953,176.5850067138672,141.75999450683594,13.369999885559082
2015-07-15,1.5636972188949585,110.16000366210938,176.52630615234375,137.83999633789062,13.229999542236328
2015-07-16,1.563403844833374,109.76000213623047,177.94276428222656,136.39999389648438,12.109999656677246
